,RequiredQual,Eligibility,Title,JobDescription,JobRequirment
11325,"At least 2 to 5 years of work experience in delivery and deployment of PHP-based web applications, MySQL and LAMP environments; Strong knowledge of Front End Web 2.0 (CSS, HTML, Javascript and Jquery); Experience in working with PHP Frameworks; Cake PHP is preferred; Technical English language skills.",All qualified candidates,PHP Developer,"The incumbent will be responsible for web application
development.","- Participate in all stages of web application
design and development, using LAMP technology (PHP, MySql, etc)."
11370,Working knowledge of PHP or at least one structured programming language and internet security;  Proven experience in digital marketing and online PR in an agency or consumer branding environment; Strong understanding of the digital landscape and ability to use it to support and develop the brand;  Good experience and understanding of customer and market dynamics and requirements;  Extremely detail oriented and organized and with the ability to meet deadlines; Excellent verbal and written communication skills.,,Web Developer,"The incumbent will be responsible for the layout,
visual appearance, usability, maintenance and development of existing
company websites and for managing all brand communications through
digital channels, setting up, selling and executing a vision, from
delivering stand alone projects to integrated campaigns, developing brand
presence, tracking online and delivering brand email. The Digital
Marketing Manager will also be responsible for delivering the digital
brand objectives.","- Responsible for developing, executing and delivering the company's
digital/ online marketing strategy, planning and budget to include
online, new media, web, e-commerce and SEO to drive the business forwards
through key marketing channels. 
- Responsible for managing online branding, communications and campaigns
through the company website, email marketing, building the online
community, attracting new customers, search engine optimization and
search marketing;
- Review technologies and explore new developments in the digital
landscape to find ways to more effectively deliver the communication and
business objectives; 
- Responsible for improving the design, usability, content and conversion
points of the company website and for the promotion and growth of the
company's web properties;
- Oversee the creation of websites, email newsletters and text alerts,
putting a positive spin on what the company has to offer;
- Responsible for the smooth running and completion of projects across
site builds, online advertising, social media, maximizing online sales
opportunities and search marketing."
11380,"Higher education; At least 3 years of experience in each of the following fields: (I) C/ C++; (II) Linux environment (SSH, SFTP and Apache); (III) JavaScript, DOM, HTML5, CSS3, MySQL, PL/ SQL and AJAX; (IV) Knowledge of Python, Ruby and PHP; (V) Relational databases such as MySQL; (VI) Collaborative tools such as SVN.",All interested candidates,Software Developer,"VXSoft Ltd is looking for a Software Developer for the
company office in Armenia.","- Develop and submit software code according to technical requirements of
system architect;
- Develop software specifications for company's products;
- Perform other tasks assigned by System Architect."
11420,"Bachelor's degree; Master's degree is a plus; At least 4 years of work experience in Java and Web development; Experience with web development with Java EE platform; Excellent knowledge of Java and OOP; Knowledge of Java technologies: JSF, EJB, Hibernate, Spring and JAX-WS; Knowledge of databases: excellent  knowledge of SQL, experience with Oracle and other relational database systems and database modeling skills; Knowledge of (X)HTML, CSS, JavaScript and XML; Ability to work on projects with a development team; Problem solving skills; Strong interpersonal skills, including effective writing and verbal communication skills.",All qualified candidates,Java Developer,"IUNetworks LLC is looking for a motivated Senior Java
Developer for web based, enterprise level applications development.","- Analyze given task and provide technical expertise;
- Provide task estimates;
- Develop software based on requirements;
- Develop unit tests for developed software;
- Identify possible risks and report them;
- Accurately resolve and test assigned requests and report their
statuses;
- Provide technical documentation for developed software."
11430,"Knowledge of  Architecture MS SQL 2005  2008; Knowledge of DBMS; Knowledge of JavaScript, NET, VB, SQL, HTML/ CSS, XML and related technologies; At least 2 years of work experience in a windows environment; High sense of responsibility, discipline, punctuality and honesty;  Well-organized and result-oriented personality;  Ability to work with team members;  Willingness to work and achieve new knowledge.",All interested and qualified candidates.,Software Developer,"Tel-Cell CJSC is seeking a motivated Software
Developer.","- Plan DBMS;     
- Administrate DBMS;  
- Program and develop new products;
- Provide support to process software."
11439,BS in Computer Science or similar major; MS/ ME is a plus;   At least 5 years of work experience; Strong knowledge in C/ C++ programming; Good knowledge in QT programming; Knowledge of and experience in Object Oriented Programming; Good knowledge of spoken and written English language; Strong software debug skill; Familiarity with SQL and Oracle DB API; Familiarity with Linux/ UNIX system is preferred.,,Software Engineer,,"- Design and develop high performance background applications running on
Linux and Windows environment;
- Maintain existing background and GUI software;
- Develop design and functional specification document;
- Debug and test under Linux/ Windows and ensure the highest level of
software quality;"
11442,"University degree in Computer Science or relevant field; At least 3 to 5 years of relevant professional experience; Programming knowledge of PHP and JavaScript; Experience with Perl, SQL and HTML; Experience with web based user interface development; Understanding of complex database concepts; Ability to create well designed and reusable objects; Understanding of browser specific compatibility issues; Excellent communication skills and ability to work in a team;  Fluency in Armenian language, excellent knowledge of Russian and English languages;  Previous translation and/ or editing experience would be an advantage.",,Web Developer,"The OSCE Office in Yerevan requires services of an
experienced Web Developer to support the Good Governance Unit of the
Office in the assistance to governmental structures in the anticorruption
reforms and specifically in implementation of the anticorruption
strategy.","Under the overall supervision of the designated
person from the Good Governance Programme and the Chairman of the Ethic's
Commission, the incumbent will be responsible for developing the website
of the Ethic's Commission. More specifically, he/she will: 
- Design and develop the website with information provided by the
Commission;
- Maintain and up-date the website;
- Create full backup of the website;
- Build and implement appropriate security structures for the website;
- Provide adequate training to the staff to enable them to do basic
operations with the websites (update information, post documents, etc.)."
11460,"University degree in IT; Basic Java skills; Experience in J2EE, Grails, MYSQL or NOSQL technolgies is a plus; Good communication skills; Good knowledge of English language; Understanding of an agile methodology (Scrum).",All qualified candidates,Software Engineer,"In this role the incumbent will be responsible for
delivering qualitative implementation of the requirements, according to
the level of defined architecture, with unit tests coverage, in regards
to the best practices and industry standards. The incumbent should be a
team player and encouraged to ask and provide support to the team
members.","- Be responsible for developing and building high quality web
applications;
- Develop large scale and high performant Web applications with Java,
MYSQL and NOSQL;
- Implement user web interface technologies;
- Responsible for Software testing and quality assurance (e.g unit and
integration testing)."
11484,"Good knowledge of Java, MySQL, Spring, Hibernate and J2EE; High level of quality assurance expertise working with industry standards tools (JUnit, Selenium, JMeter etc.); Knowledge of Groovy/ Grails, MongoDB, JBoss and EJB is highly desirable;  Work experience in agile methodology (Scrum).",,Software Engineer,"In this role the incumbent will be responsible for
providing development of high quality functional and scalable solutions
that meet expectations of Product owner and stakeholders, using the
latest development technologies and methodologies and ensure that they
meet high quality standards by taking over all related quality tasks.","- Estimate effort and design technical solutions from user stories;
- Deliver software which meets development standards for code quality,
architectural guidelines, unit tests and testing frameworks."
11491,"University degree in the appropriate field of studies; At least 2 years of solid experience in J2EE;  Good knowledge of OOP principles;  Good knowledge of database design and optimization (MySql and MongoDB); Experience in AJAX, JavaScript and HTML; Experience with working in Linux environment; Experience in Groovy/ Grails is an advantage; Ability to work in a team;  Problem solving skills; Good communication skills.",,Software Developer,"HIT Labs is looking for a motivated specialist who will
join the new team and new opportunities.","- Participate in product features discussion meetings; 
- Participate in application design; 
- Design and develop features according to technical discussions and own
research; 
- Communicate effectively with team members."
11503,"BS in Computer Sciences, Information Services or a related field; MS is an asset; At least 2 years of extensive development experience; At least 1 year of experience with the following technologies: a) .NET Framework 3.5 and higher; b) C# 3.0 and higher; c) MS Sql Server 2008; Strong knowledge of the following packages and/ or technologies: a) WCF and Services; b) Security;  c) LINQ and also ADO.NET. Experience with technologies such as XML, Subversion and related tools; Thorough understanding of software development processes and methodologies and knowledge of complete product development life cycle; Excellent communication and writing skills and experience in writing product specifications and technical documentation; Good communication skills in Russian and English languages.",,Software Developer,"The Software Developer will take part in design and
development projects.",
11515,"Higher education in relevant field; At least 3 years of software testing and QA experience preferably in web development; Knowledge of testing techniques, problem reporting and documentation; Knowledge of HTML and CSS; Knowledge of JavaScript, Dom and Selenium is a plus; Experience with Linux and Windows platforms; Operational experience in at least bug tracking system; Good knowledge of English language.",All qualified candidates,Software QA Engineer,"The Senior Quality Assurance Engineer will be 
primarily responsible for planning, creating and executing manual and
automated software test activities. The incumbent will also work closely
with the Agile team and communicate with the Product Owner and other
stakeholders.","- Design test cases, perform manual functional/ compatibility/ regression
testing and develop automated tests;
- Responsible for developing an automation framework;
- Create and maintain automation testing scripts while using cutting edge
technologies, such as Selenium RC/ IDE;
- Interact with various stakeholders, product management, development and
operations;
- Serve as a strong contributing technical member of the agile team."
11517,"Bachelor's degree in Computer Sciences or a related field; higher degree is a plus; At least 2 years of work experience with the following technologies: HTML/ CSS, JavaScript, AJAX, PHP, cakePHP or other frameworks; Experience in object oriented programming/ modular programming;  Understanding of MVC design patterns and frameworks; Knowledge of SQL/ MySQL and database design/ modeling; Understanding of browser specific compatibility issues; Knowledge of Apache server configuration/ administration is a plus; Knowledge of Linux command line is a plus; Ability to work both as an individual and as a part of a team;  Good written and verbal skills in English language; Ability to learn quickly.",,Web Developer,"The Web Developer will be responsible for development,
continuation and follow-on enhancements of internal web site and MySQL
database.","- Develop, test and maintain internal web site in PHP/ MySql and
Javascript/ AJAX code; 
- Read, understand and modify the existing code;
- Design Mysql database structure; 
- Participate in project planning."
11550,"Master's degree in a relevant field;  From 1 to 3 years of experience in Java development;  Strong knowledge of OOA/ OOD;  Good understanding of UML diagrams;  Good knowledge of Core Java programming skills;  Good knowledge of Java server side web technologies (Servlets/ JSP)  Experience in development of Java based standalone applications, and/ or web-based systems, and/ or web services;  Experience in development of client-side applications: JavaScript/ Ajax/ HTML/ CSS/ JSF;  Experience in complex database systems MySQL, MS SQL and ORACLE;  Experience in development of systems based on RDBMS is desirable;  Ability to solve development problems;  Experience in a relevant field is crucial;  Fluency in technical English language;  Ability to work in a team while being self-directed and highly motivated;  Excellent analytical and problem-solving skills and attention to detail;  High level of responsibility;  Ability to co-ordinate diverse and simultaneous activities by using effective planning, organization and time management skills;  Ensure quality and competitiveness;  Work in an autonomous environment;  Understanding of how products are delivered to customers through electronic media;  Self motivated with the ability to work independently and very thoroughly;  Creativity and imagination;  Skills in using computer design packages and drawing ability; strong UI design skills;  Ability to manage time effectively, work under pressure and in multi-task environment;  Technically proficient with the ability to grasp new concepts quickly; Good reading and written communications skills and demonstrated ability to collaborate effectively with developers and non-developers;  Strong interpersonal and organizational skills and ability to deal effectively in a team environment;  Ability to analyze complex problems, interpret operational needs and develop integrated and creative solutions;  Display professionalism and well-developed interpersonal skills.",,Software Developer,"The Software Developer will focus on core software
development tasks and the front end customizations of web portals
developed by the company. The core Software Development will include
tasks in areas involving application programming, testing, documentation
and delivery.","- Translate design requirements and specifications into robust
implementations; 
- Design, proto-type, develop and manage the technical aspects of the
software; 
- Perform the assigned tasks  and quality assurance tasks (developers
testing) in the precise and timely manner; 
- Document the software products that will be produced; 
- Develop user interface ideas; 
- Work closely with the Requirements and Quality Assurance teams during
User Acceptance Testing; 
- Develop, test and maintain high-quality and secure Web database and Web
portal applications; 
- Troubleshoot and resolve issues with production software and services;
- Collaborate with QA and documentation personnel in developing test
planning and user documentation; 
- Conduct the broad research of the technologies available in the market
and deliver cutting edge solutions to employ in the daily work of his
team."
11568,"Bachelor's degree in Computer Sciences or related discipline;  At least 1 year of database development experience in Oracle and MS SQL Server environment;  Strong knowledge of PL SQL/ T-SQL languages; Good knowledge of MS Office, specially MS Excel and MS Access;  Strong analytical skills and ability to make logical decisions;  Experience in telecommunication is highly desired;  Excellent oral and written communication skills;  Responsible team player;  Good knowledge of oral and written English language.",All interested candidates,Database Admin/Dev,"He/ she will be responsible for fraud and revenue
reporting system development, data analysis and system development for
fraud detection and revenue assurance purposes.","- Develop reports to query data from core systems and data warehouse; 
- Develop/ maintain reporting system with prescheduled data querying
mechanism; 
- Develop/ maintain fraud management system outside core systems, basing
on queried data, fraud detection and revenue assurance reconciliation
models; 
- Develop mechanism to integrate reporting with Fraud Management System;
- Analyze daily Call Detail Records and other relevant data; 
- Extract and analyze finance department reports."
11569,"Bachelor's degree in Computer Sciences or a related field; higher degree is a plus; At least 3 years of work experience with the following technologies: HTML/ CSS, JavaScript, AJAX, PHP, Yii and other frameworks; Experience in object oriented programming/ modular programming;  Knowledge of SQL/ MySQL and database design/ modeling; Understanding of browser specific compatibility issues; Knowledge of Apache server configuration/ administration is a plus; Knowledge of Linux command line is a plus; Knowledge of HTML, CSS, AJAX and JavaScript frameworks; Ability to work both as an individual and as part of a team;  Good written skills in English and Russian languages; Ability to learn quickly.",,PHP Developer,"The Web Developer will be responsible for development,
continuation and follow-on enhancements of internal web site and MySQL
database.","- Develop, test and maintain internal web site in PHP/ MySql and
Javascript/ AJAX code; 
- Read, understand and modify the existing code;
- Design Mysql database structure; 
- Participate in project planning."
11587,"Degree/ diploma or equivalent work experience in a related field; At least 6 years of work experience in web-based technologies;  .NET Microsoft Certified Professional an asset;  Strong understanding of object-oriented (OOP) development; Hands-on experience and proficient knowledge of the following: Web technologies: HTML, DHTML, JavaScript, .NET, ASP.NET, ADO.NET, C#/ VB.NET, Web Services, WCF, SOAP and XML;  Database server:  Sybase, MS SQL Server 2005/ 2008, SSIS, SSRS, performance tuning, stored procedures, functions (PL/ T-SQL) and data warehouse;  System environment: Microsoft ASP.NET/ .NET framework on Windows 2008 server;  Tools: MS Visual Studio 2005/ 2008, Subversion, MS Team Foundation; Experience with unit testing frameworks;  Strong skills at performance application tuning; Excellent written and oral communication skills;  Strong problem-solving and decision-making skills;  Excellent time-management and organizational abilities that facilitate structured teamwork;  Ability to work with minimal supervision; Highly developed communication, presentation, facilitation and negotiation skills;  Experience and/ or personal interest in the financial industry is an asset;  Understanding of trading life cycle, risk management, financial, operational and regulatory considerations is desired; Ability to analyze information and make appropriate recommendations; Ability to adapt and change based on new business requirements and environment.",,.NET Developer,"The ideal candidate for this position must be
experienced in designing and developing highly performing and scalable
applications that meet the business requirements. The Senior .Net
Developer will be involved in small to large scale projects through all
stages of the software development life cycle, from requirements
gathering to implementation. The Senior .NET developer will collaborate
with user interface team, .NET developers and database architects to
design and develop functionally rich, robust and user friendly web
applications as defined by business requirements.","- Design, develop and implement client-facing and internal web
applications using .NET specifications and proven design patterns; 
- Responsible for architecture analysis and documentation of the software
specifications for both the client-facing and internal web applications;
- Be actively involved in designing new application features and
functionality, writing API's, scalability and maintainability
improvements;
- Provide support and expertise for a multi-tier environment and evaluate
(with recommendations) any additional infrastructure or software required
to support the web application;
- Meet and interact with user interface team, database architects and
.NET developers as needed to elicit, define, analyze and document
requirements for new application;
- Define both functional and technical requirements to facilitate design,
development, testing, implementation and ongoing support; 
- Assist and support other team members on multiple projects;
- Provide support and enhancements to existing production applications in
a timely and accurate manner;
- Play active role in defining and implementing best practices, standards
and procedures including quality and delivery methodologies;
- Ensure compliance with the documented software processes and procedures
throughout the life cycle of software products;
- Support the Team Lead in technical decisions and development
estimates;
- Ensure quality and reliability of code from the intermediate developers
by conducting a smoke testing and code reviews;
- Participate in the project architecture exercise and assume
responsibility for ongoing data architecture for the project;
- Propose and sometimes decide on technologies used;
- Propose and finalize the database design in collaboration with the
DBA;
- Ensure consistency of design elements and interactive behaviors within
individual pages/ forms/ components and across entire projects;
- Conduct researches and proof of concepts;
- Might produce rapid prototypes for the project;
- Share knowledge and lessons learned with team members."
11600,"At least 4 to 6 years of extensive development experience, and at least 3 years with the following technologies: a) Pure C# code both on the middle tier and as part of the web UI layer of ASP.NET; b) IIS 6 and/ or IIS 7 experience; c) MS SQL Server 2000, 2005 or 2008 experience; d) Strong knowledge of C#, WCF,.NET (2.0, 3.0, 3.5, 4.0), SOAP and XML; e) Understanding of OTA XML Messaging a plus; f) Knowledge of Flash development and Action script is preferable; Familiarity with the .NET Framework, specifically the following packages: messaging, threading, generic collections, custom controls and LINQ to SQL classes and also ADO.NET; Experience with technologies such as JQuery, java Script, HTML, CSS, XML and related tools; Extensive programming experience with standard management and instrumentation API's; Ability to work independently as well as with other members in the group; Thorough understanding of software development processes and methodologies and knowledge of complete product development life cycle; Strong inter-personnel skills, ability to work both independently and as part of a global team and thrive on technical challenges; Excellent communication and writing skills and experience in writing product specifications and technical documentation; Good knowledge of English language.","For self driven, hard working and good
team player people.",Software Engineer,"Ogma Applications is seeking an experienced Senior
Software Egineer with in-depth knowledge of software development
processes. In order to join and succeed in the team, the incumbent must
have passion and energy to work in an entrepreneurial and fast paced
environment. As a senior member of the team in Armenia, the Software
Egineer will be working closely with other developers and his/ her peers
in the US and other teams around the globe, to analyze, design, develop,
test and deliver the best in class software.","- Work with the Senior Architect in the US to get aligned with product
roadmaps and assume a key role in the development of these products;
- Design, proto-type, develop, and thoroughly unit test before submitting
to QA;
- Write technical and functional specifications and present them to the
other team members and occasionally to the management;
- Work with the Quality Assurance team to develop and maintain unit tests
based on product functional specifications."
11605,"4-year college degree in Computer Sciences or other related technical discipline; MA and PhD are preferred;   Desired experience in designing, developing and troubleshooting software in Java and related web technologies; From 5 to 10 years of experience in programming, especially in Java; At least 4 years of work experience in J2EE development; Previous experience with one or more production/ mission critical web applications is highly desirable;   Working knowledge of and experience in Web technologies and web-based dynamic application development, especially Java Servlets, JSPs and Web Services; Working knowledge of XML, XSLT, HTML, CSS, Java Scripts, AJAX and related technologies; Experience with Java/ RDBMS ORM technologies and DBMS design, as well as programming within web applications; Effective written and oral communication skills;   Knowledge of customer needs and competing products is desirable; Ability to analyze and solve complex software engineering problems; Ability to prioritize work, complete multiple tasks and work under deadline and budget guidelines; Fluency in English language.",,Java Developer,"The incumbent will perform complex software engineering
duties using own initiative, following established standards and
procedures and working closely with other engineering disciplines. He/
she will work under general supervision and direction. The incumbent will
regularly exercise discretionary and substantial decision-making
authority.","- Perform complex software engineering duties, including the full-range
of programming tasks: problem analysis, solution determination, code
design and development, integration, test, modification and
documentation; 
- Plan and participate in software systems development, from inception to
completion, including gaining customer acceptance;
- Assist in the preparation of design specifications;  
- Responsible for design and coding of software components for Java-based
Web Applications;
- Design and implement RDBMS schemes and data access components;
- Develop strategies for deployment of high performance RDBMS
operations;
- Create logic flowcharts and block diagrams;
- Coordinate and develop project concepts, objectives, specifications and
resource needs;  
- Define test schedules and test data requirements;  
- Recommend test controls, strategies and equipment;
- Prepare design proposals to reflect cost, schedule and technical
approach;  
- Develop technical and cost data and assist in writing new business
proposals;
- Monitor project status and progress;
- Manage budget and schedule for software engineering tasks if needed;
- Interface with customers, contractors and marketing vendors as
required;  
- Evaluate vendor capabilities to provide required products or services;
- Consult with other Engineers to evaluate hardware/ software interfaces
and optional performance requirements; 
- Conduct and participate in in-house design reviews and technical
meetings;
- Organize and coordinate programming tasks assigned to other Software
Engineers;  
- Provide technical guidance to lower level programming personnel;  
- Keep informed of improvements in software engineering techniques; 
- Show commitment to Company values, ethics, safety, security, labor
charging and quality; 
- Participate in total quality management/ continuous process improvement
teams if needed;
- Perform other Software Engineering tasks as required by company
management."
11633,University degree in Computer Sciences or in related field; At least 3 years of work experience in software application development using C; Experience in development on embedded systems; Experience in development under Linux/ Unix OS; Knowledge of software development life cycle; Knowledge of security concepts and network protocols; Knowledge of Python is an asset; Work experience in an XP Agile environment is an advantage; Ability to communicate and conduct teleconferences with foreign partners in English language; Ability to explain clearly the problems to the development team(s); Ability to work under pressure on multiple tasks and within tight deadlines.,,Software Engineer,"Energize Global Services CJSC is looking for an
experienced Software Engineer.","- Develop and test new solutions;
- Provide a technical description of the solution based on the customer's
requirement;
- Perform design, development and the integration of the solution;
- Be involved in the entire life-cycle of the product;
- Maintain the existing applications already present on the market,
implement additional features, provide support to the integrators and
customize the existing solution for the customers."
11651,"Bachelor's degree in Computer Science; Master's degree is a plus; At least 5 years of relevant work experience; Fluency in English language both written and spoken; Expertise in HTML, CSS, AJAX and JavaScript frameworks; Over 3 years of professional experience in projects as a Java Developer in J2EE; Knowledge of agile and scrum environments; Advanced knowledge of OOP and OOD; Knowledge of Web Frameworks: Struts, JSP/ Servlets; Knowledge of Oracle/ MySQL and MSSQL; Excellent communication, interpersonal, problem solving and relationship management skills; Ability to communicate well with operations and technology; Ability to work on multiple tasks and to prioritize personal workload; Detail oriented personality and a self starter; Skills in JBoss, Oracle EclipseLink and Seleniun are desired.",,Java Developer,"AtTask has an opening for Senior Java Developer with
extensive UI experience in Web 2.0 development to assist in the
development of work management platform at Yerevan office.","- Create the best project management software on the market;
- Perform software development, test case development and usability of
products;
- Assist with integration services related to the AtTask product;
- Work in a scrum project framework."
11652,"BS in Computer Science or a related degree; At least 3 to 5 years of work experience; Fluent knowledge of written and spoken English language; Proven experience with QA automation; Experience with OO languages; Knowledge of automated Web GUI testing methods and tools; Excellent communication, interpersonal, problem solving and relationship management skills; Ability to work on multiple tasks and to prioritize personal workload; Detail oriented personality and self-starter.",,Software QA Engineer,"AtTask has an opening for an experienced Software
Quality Assurance Engineer at Yerevan office. The position will primarily
have responsibility for working with a team of QA engineers and
developing processes and implement code to ensure delivery of high
quality software. This role requires a proactive and results oriented
individual with the ability to work on assigned tasks, as well as
independently identify other value-add activities.","- Perform manual and automated testing;
- Perform functional, performance, load, compatibility and usability
tests;
- Identify, reproduce and report bugs;
- Verify fixed defects and perform regression tests to ensure the quality
of software releases;
- Manage and create tests for new features to ensure less than 1% bug
ratio on delivered projects;
- Design and implement unit test cases on existing code;
- Design and implement Java based/ Selenium automation suite for
regression/ functional testing."
11692,"At least 3 years of work experience as a Software Developer; Excellent knowledge of Java and OOP; Excellent knowledge of Web development; Web Frameworks: Struts, JSP/ Servlet and Java Server Faces; Persistence layer: Hibernate and IBATIS; Integration technologies: Spring Framework; Databases: basic knowledge of MySQL and Oracle databases; Excellent knowledge of SQL language (writing queries, creating databases, dumping, importing without a graphical user interface); Database modeling skills; Good knowledge of (X)HTML, CSS, JavaScript and XML; Optional technologies: Velocity, Jasper Reports and Facelets; Servers: Tomcat, Apache2; OS: Linux Ubuntu; Good communication skills; Good English language skills; Ability to work on project with a development team; Ability to lead a small development team is a plus; Ability/ willingness for business trips is a plus; Problem solving skills.",,Java Developer,"Virtual Solution Global Services LLC is seeking a
motivated Senior Java Developer for the development of Web based
applications.","- Participate in application design;
- Provide necessary technical and design documentation;
- Communicate effectively with local management and external team
members;
- Develop applications according to technical documentation;
- Install and configure necessary environment for the developed
applications; 
- Provide support in web servers, databases and applications'
maintenance."
11722,"Artistic ability to draw, sketch and design creative materials; At least 2 years of work experience;  Background of Academic art;  Proficiency in Adobe Photoshop, Adobe Illustrator and InDesign; Experience in Mac platforms; Willingness to work in a very dynamic environment; Availability of a portfolio.",All qualified candidates.,Graphic Designer,"The Graphic Designer will be responsible for the design
and execution of print materials (advertisements, posters, brochures,
flyers, etc.).","- Show creativity every day;
- Work with a brief with the Creative Director to generate and prototype
design ideas;
- Design and create advertising materials."
11723,"Artistic ability to draw, sketch and design creative materials; At least 2 years of work experience;  Background of Academic art;  Proficiency in Adobe Photoshop, Adobe Illustrator and InDesign; Experience in Mac platforms; Willingness to work in a very dynamic environment; Availability of a portfolio.",All qualified candidates.,Graphic Designer,"The Graphic Designer will be responsible for the design
and execution of print materials (advertisements, posters, brochures,
flyers, etc.).","- Show creativity every day;
- Work with a brief with the Creative Director to generate and prototype
design ideas;
- Design and create advertising materials."
11734,"B.S. in Computer Sciences; At least 2 years of relevant work experience; Experience in testing mobile applications is desired; Knowledge of MS SQL; Knowledge of VS TFS and Test Manager; Experience in working with automated testing tools is desired; Ability to work on multiple tasks and projects simultaneously; Mastery of technical English language; Good communication skills; Good team player, with the ability to accept criticism; Ability to work in a fast-paced dynamic environment, be flexible and adapt to changing requirements and customer requests.",,Software QA Engineer,"The successful candidate will become part of our
testing team. He/ she will be working mainly on various parts of our web
and mobile applications.","- Review and analyze project requirements and specifications;
- Design and update testing documentation (test plans, test cases and
user stories);
- Identify, reproduce and report bugs;
- Discuss project issues with development/ management team/ client;
- Perform functional, compatibility, usability, performance and load
testing;
- Verify fixed defects and perform regression tests to ensure the quality
of software releases;
- Work closely with development team."
11747,"Strong knowledge of PHP 5, Java Script (JQuery and Prototype), HTML, CSS and XML; Knowledge of joomla and wodpress CMS; Ability to develop new modules and templates; Knowledge of MySQL, Postgre or SQL Server; Good problem solving skills and ability to work independently; Ability to learn new technologies; Knowledge of Zend Framework or other frameworks is a big plus; Experience in working with OpenSource products is a big plus; Knowledge of other programming languages (Java/ Objective C) is big plus;  Ability to work independently and efficiently to meet deadlines; In-depth understanding of the software development lifecycle and ability to communicate project status, issues and resolutions; Good communication skills; Good English language skills; Self-motivated, detail-oriented and organized personality.",,Web Developer,"Virtual Solution Global Services LLC is seeking a
motivated Web Developer.","- Design and build online content in standards-compliant HTML and CSS;
- Create and maintain company websites using CMS (Joomla);
- Support customers with web-related queries via Support Helpdesk;
- Support software development team with front-end related development."
11757,"University degree in Computer Sciences or similar field; From 3 to 5 years of software QA experience; Experience in leading a small team is desirable; Excellent communication skills and ability to have functional discussions with QA, Business Analysis and developers; Ability to write specification documentations or some experience with Business Analysis type documentation and tasks (e.g. gathering requirements, writing functional specification, discussion with business & end users); Solid understanding of QA processes and methodology; Solid understanding of QA documentation processes; Ability to write test cases and procedures and follow the defined QA processes; Methodical approach to software testing; Experience in testing .NET web application; Excellent attention to details; Ability to communicate and conduct teleconferences with foreign partners in English language. DESIRABLE QUALIFICATIONS: Basic understanding of three-tier architectures; Basic knowledge of web design/ programming; Knowledge of HTML and XML; Ability to write SQL Queries; Familiarity with TestComplete test automation tool.",All qualified candidates,Software QA Engineer,"Boomerang Software LLC is looking for an experienced
Senior QA Engineer. This role is within a team testing internally
developed CRM software for running the telecom business, including
communication with partners and suppliers.",
11778,"Higher education in the associated field is preferable; At least 3 years of work experience as a Graphic Designer; Knowledge of Adobe Photoshop, Adobe Illustrator and Corel Draw; Knowledge of Armenian, English and Russian languages; Ability to work in a team.",,Graphic Designer,"SAS Group LLC is seeking a Graphic Designer to design
materials including newsletters, invitations, advertisements, flyers,
vouchers, direct mail, postcards and coupons.","- Develop concepts and design materials including newsletters,
invitations, advertisements, flyers, vouchers, direct mail, postcards and
coupons;
- Assist the marketing team with marketing, brainstorming and advertising
strategies;
- Estimate the time required to complete projects;
- Proofread to produce accurate and high-quality work;
- Interpret the business needs and develop a concept to suit their
purpose."
11784,"Higher education; At least 3 years of experience in each of the following fields: a) C/ C++; b) Knowledge of PHP (Python and Ruby); c) JavaScript, DOM, HTML5, CSS3, MySQL, PL/ SQL and AJAX; d) Relational databases such as MySQL (experience with Oracle is welcomed); e) Linux environment (SSH, SFTP and Apache); f) Collaborative tools such as SVN.",All interested candidates,Software Developer,,"- Develop and submit software code according to technical requirements of
system architect;
- Develop software specifications for company's products;
- Perform other tasks as assigned by System Architect."
11800,"University degree in Computer Sciences or a related field;  Knowledge of programming;  Experience in working with web applications; At least 2 years of experience with writing test cases and scripts, as well as technical task making;  At least 2 years of work experience with MySQL and MS SQL 2005, 2008; At least 1 year of work experience with ASP.NET, PHP, Java Script, C# and HTML5;  Knowledge of Linux Operating System; Fluency in Armenian and Russian languages; knowledge of technical English language;  Excellent communication skills; Ability to train and support users; Excellent analytical skills and flexibility;  Sense of responsibility; Educability;  Effective time management and problem solving skills; Experience in banking sphere (automation department) is desirable.",,Web Developer,"""Rosgosstrakh Armenia"" ICJSC is looking for a Web
Developer to perform responsibilities listed below.","- Design new software, ensure its development and implementation
according to appropriate technical tasks;
- Ensure the implemented software features and functions development and
make appropriate improvements according to technical tasks; 
- Provide documented software processes' compliance with software
procedures throughout the project life cycle; 
- Make reports on task  status and possible problems occurred; 
- Perform software testing, and implement software problem solutions;
- Prepare technical tasks intended for innovations; 
- Set and control deadlines for tasks' accomplishment; 
- Once innovations adopted, present them to target users and conduct
their training if necessary;   
- Control system operation;
- Consult users about program utilization."
